window,phase,policy,remote,local,batch_ms,cost_units,reconfigured
72,steady,one_shot_stable,0,8,584.4715194122155,2898.9787362845886,0
72,steady,change_aware,0,8,584.4715194122155,2898.9787362845886,0
72,steady,phase_oracle,0,8,584.4715194122155,2898.9787362845886,0
73,steady,one_shot_stable,0,8,584.446675534685,2898.8555106520375,0
73,steady,change_aware,0,8,584.446675534685,2898.8555106520375,0
73,steady,phase_oracle,0,8,584.446675534685,2898.8555106520375,0
74,steady,one_shot_stable,0,8,586.3906822355361,2908.497783888259,0
74,steady,change_aware,0,8,586.3906822355361,2908.497783888259,0
74,steady,phase_oracle,0,8,586.3906822355361,2908.497783888259,0
75,steady,one_shot_stable,0,8,580.8970937547241,2881.2495850234313,0
75,steady,change_aware,0,8,580.8970937547241,2881.2495850234313,0
75,steady,phase_oracle,0,8,580.8970937547241,2881.2495850234313,0
76,steady,one_shot_stable,0,8,584.9906200244628,2901.5534753213356,0
76,steady,change_aware,0,8,584.9906200244628,2901.5534753213356,0
76,steady,phase_oracle,0,8,584.9906200244628,2901.5534753213356,0
77,steady,one_shot_stable,0,8,582.8692400898412,2891.0314308456127,0
77,steady,change_aware,0,8,582.8692400898412,2891.0314308456127,0
77,steady,phase_oracle,0,8,582.8692400898412,2891.0314308456127,0
78,steady,one_shot_stable,0,8,583.0405394491645,2891.881075667856,0
78,steady,change_aware,0,8,583.0405394491645,2891.881075667856,0
78,steady,phase_oracle,0,8,583.0405394491645,2891.881075667856,0
79,steady,one_shot_stable,0,8,581.0611378605718,2882.063243788436,0
79,steady,change_aware,0,8,581.0611378605718,2882.063243788436,0
79,steady,phase_oracle,0,8,581.0611378605718,2882.063243788436,0
80,host_contention,one_shot_stable,0,8,1499.0121410091685,7435.100219405476,0
80,host_contention,change_aware,0,8,1499.0121410091685,7435.100219405476,0
80,host_contention,phase_oracle,7,2,628.8492327528364,5000.126771489034,0
81,host_contention,one_shot_stable,0,8,1524.7003282089295,7562.51362791629,0
81,host_contention,change_aware,0,8,1524.7003282089295,7562.51362791629,0
81,host_contention,phase_oracle,7,2,639.6256610214598,5085.812663560645,0
82,host_contention,one_shot_stable,0,8,1531.207471538209,7594.789058829516,0
82,host_contention,change_aware,7,2,2642.355466856972,21009.983985803563,1
82,host_contention,phase_oracle,7,2,642.3554668569718,5107.517985803561,0
83,host_contention,one_shot_stable,0,8,1508.8801851812793,7484.045718499146,0
83,host_contention,change_aware,7,2,632.9889670729502,5033.042763626356,0
83,host_contention,phase_oracle,7,2,632.9889670729502,5033.042763626356,0
84,host_contention,one_shot_stable,0,8,1520.7029823456162,7542.686792434256,0
84,host_contention,change_aware,7,2,637.9487380597151,5072.479058368763,0
84,host_contention,phase_oracle,7,2,637.9487380597151,5072.479058368763,0
85,host_contention,one_shot_stable,0,8,1480.6815367747404,7344.180422402712,0
85,host_contention,change_aware,7,2,621.1593774852495,4938.982940520173,0
85,host_contention,phase_oracle,7,2,621.1593774852495,4938.982940520173,0
86,host_contention,one_shot_stable,0,8,1495.6350006778732,7418.349603362251,0
86,host_contention,change_aware,7,2,627.4324916550598,4988.861932919936,0
